"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"318","Alec Ingold","MIA","rb","12","9","5.7","0","0","0","0","0","0","1.1125","4.5011","0.034","3.2062","2.5681","19.6536","0.0857","0.0427","0.0219","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"319","Curtis Samuel","BUF","wr","7","10","28.7","0","0","0","0","0","0","0","0","0","16.0721","11.6886","118.3325","0.8455","0","0","0.0538","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"320","Tyquan Thornton","KC","wr","10","9","28.7","0","0","0","0","0","0","0","0","0","15.6809","9.1102","139.9521","0.9189","0","0","0.0437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"321","JuJu Smith-Schuster","KC","wr","10","9","28.3","0","0","0","0","0","0","0","0","0","15.7753","11.7793","122.1238","0.7077","0","0","0.044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"322","Roschon Johnson","CHI","rb","5","10","4.5","0","0","0","0","0","0","3.6845","15.1774","0.1188","1.6091","1.3087","8.4453","0.0335","0.0639","0.0297","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"323","Tyler Goodson","IND","rb","11","9","4.4","0","0","0","0","0","0","5.9196","24.7778","0.1904","0.5781","0.464","3.1369","0.0172","0.0851","0.038","0.0093","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"324","Sean Tucker","TB","rb","9","9","4.4","0","0","0","0","0","0","6.6657","27.4856","0.2115","0","0","0","0","0.0901","0.0397","0.008","277.448","0.0709","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"325","Arian Smith","NYJ","wr","9","9","27.3","0","0","0","0","0","0","0","0","0","16.3234","10.0951","128.0533","0.714","0","0","0.0442","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"326","Tahj Brooks","CIN","rb","10","9","3.3","0","0","0","0","0","0","0.6602","2.7665","0.0184","1.6254","1.3025","9.0243","0.0453","0.023","0.0117","0.0049","293.6442","0.075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"327","Nate Carter","ATL","rb","5","10","3.3","0","0","0","0","0","0","1.2814","5.3212","0.0336","1.683","1.3422","9.5719","0.0517","0.0318","0.0156","0.0054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
