Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
141,"Tyler Allgeier","ATL","RB",44,5,165.7,100.61,3
142,"Kyler Murray","ARI","QB",19,8,112.5,257.67,3
143,"Rachaad White","TB","RB",45,9,160.4,100.22,3
144,"Brenton Strange","JAX","TE",18,8,168.2,137.42,2
145,"Blake Corum","LAR","RB",46,8,169.2,78.06,1
146,"Cedric Tillman","CLE","WR",63,9,165.3,130.21,3
147,"Braelon Allen","NYJ","RB",47,9,166.7,115.34,5
148,"Rashid Shaheed","NO","WR",64,11,149.1,149.72,2
149,"Brian Robinson","SF","RB",48,14,null,93.99,2
150,"Romeo Doubs","GB","WR",65,5,166.4,141.44,2
151,"J.J. McCarthy","MIN","QB",20,6,157.4,261.12,2
152,"Tyjae Spears","TEN","RB",49,10,169.7,97.32,3
153,"Kyle Monangai","CHI","RB",50,5,169.8,101.69,1
154,"Kendre Miller","NO","RB",51,11,169.8,66.24,1
155,"Jalen Coker","CAR","WR",66,14,169.7,99.77,1
156,"Kenneth Gainwell","PIT","RB",52,5,168.7,95.24,"N/A"
157,"Chigoziem Okonkwo","TEN","TE",19,10,169.1,143.39,1
158,"Rico Dowdle","CAR","RB",53,14,169.6,98.3,2
159,"Colston Loveland","CHI","TE",20,5,155.7,148.24,3
160,"Dontayvion Wicks","GB","WR",67,5,169.6,70.35,1
161,"Keaton Mitchell","BAL","RB",54,7,169.8,101.93,1
162,"DJ Giddens","IND","RB",55,11,169.7,89.46,1
163,"Ollie Gordon II","MIA","RB",56,12,168.1,64.94,4
164,"Kareem Hunt","KC","RB",57,10,168.4,80.5,1
165,"Tank Bigsby","PHI","RB",58,9,151.1,121.93,4
166,"Rashod Bateman","BAL","WR",68,7,164.5,138.16,2
167,"Miles Sanders","DAL","RB",59,10,169.1,89.8,1
168,"Joshua Palmer","BUF","WR",69,7,168.7,130.92,2
169,"Joe Mixon","HOU","RB",60,6,162.3,94.52,4
170,"Kaleb Johnson","PIT","RB",61,5,137.3,109.49,8
171,"DeAndre Hopkins","BAL","WR",70,7,164.3,115.26,1
172,"Jerome Ford","CLE","RB",62,9,157.4,97.21,2
173,"Marvin Mims Jr.","DEN","WR",71,12,167.5,176.51,4
174,"Alec Pierce","IND","WR",72,11,169.5,122.65,1
175,"Zamir White","LV","RB",63,8,169.9,53,"N/A"
176,"Jayden Higgins","HOU","WR",73,6,166.4,133.92,4
177,"Dyami Brown","JAX","WR",74,8,169.9,99.21,1
178,"Parker Washington","JAX","WR",75,8,169.9,60.75,1
179,"Dont'e Thornton Jr.","LV","WR",76,8,169.9,142.58,1
180,"Tory Horton","SEA","WR",77,8,169.1,127.92,1
181,"Justice Hill","BAL","RB",64,7,168.5,48.93,1
182,"Ty Johnson","BUF","RB",65,7,169.7,52.53,1
183,"Jeremy McNichols","WAS","RB",66,12,169.8,5.23,"N/A"
184,"Demario Douglas","NE","WR",78,14,169,154.34,2
185,"Jaydon Blue","DAL","RB",67,10,165.9,98.88,4
186,"Xavier Legette","CAR","WR",79,14,152.3,149.7,2
187,"Hunter Renfrow","CAR","WR",80,14,169.7,26.63,1
188,"Brashard Smith","KC","RB",68,10,170,72.4,2
189,"Michael Wilson","ARI","WR",81,8,169.7,109.33,1
190,"Ray Davis","BUF","RB",69,7,168.3,99.96,3
191,"Olamide Zaccheaus","CHI","WR",82,5,169.7,51.48,1
192,"Isaac TeSlaa","DET","WR",83,8,168.4,127.58,1
193,"Denver Broncos DST","DEN","DST",1,12,96.1,107.84,"N/A"
194,"Buffalo Bills DST","BUF","DST",2,7,148.7,119.29,"N/A"
195,"Pittsburgh Steelers DST","PIT","DST",3,5,87.7,111.54,"N/A"
196,"Minnesota Vikings DST","MIN","DST",4,6,120,109.41,"N/A"
197,"Cameron Dicker","LAC","K",1,12,113.1,146.14,"N/A"
198,"Brandon Aubrey","DAL","K",2,10,84.2,145.09,"N/A"
199,"Matt Gay","WAS","K",3,12,162.3,141.23,"N/A"
200,"Jake Bates","DET","K",4,8,97.6,149.83,"N/A"
201,"Baltimore Ravens DST","BAL","DST",5,7,114,104.63,"N/A"
202,"Philadelphia Eagles DST","PHI","DST",6,9,133.7,110.12,"N/A"
203,"Houston Texans DST","HOU","DST",7,6,122.2,105.16,"N/A"
204,"Detroit Lions DST","DET","DST",8,8,135.8,112.41,"N/A"
205,"Chase McLaughlin","TB","K",5,9,110.6,144.15,"N/A"
206,"Wil Lutz","DEN","K",6,12,168.9,133.88,"N/A"
207,"Harrison Butker","KC","K",7,10,146.3,144.04,"N/A"
208,"Tyler Loop","BAL","K",8,7,153.1,144.36,"N/A"
209,"Tyler Bass","BUF","K",9,7,151.5,111.27,"N/A"
210,"Los Angeles Rams DST","LAR","DST",9,8,163.8,106.99,"N/A"
211,"Seattle Seahawks DST","SEA","DST",10,8,127.3,105.93,"N/A"
212,"Kansas City Chiefs DST","KC","DST",11,10,166.2,101,"N/A"
213,"Evan McPherson","CIN","K",10,10,168.7,143.66,"N/A"
214,"Ka'imi Fairbairn","HOU","K",11,6,165.6,138.15,"N/A"
215,"Chris Boswell","PIT","K",12,5,140.7,143.59,"N/A"
216,"Los Angeles Chargers DST","LAC","DST",12,12,165.7,97.66,"N/A"
217,"Jake Browning","CIN","QB",21,10,169.5,30,"N/A"
218,"Spencer Rattler","NO","QB",22,11,169.7,190.47,"N/A"
219,"Bryce Young","CAR","QB",23,14,168,233.67,1
220,"Dalton Schultz","HOU","TE",21,6,168.8,97.67,1
221,"Dak Prescott","DAL","QB",24,10,129.5,241.56,7
222,"AJ Barner","SEA","TE",22,8,169.5,95.89,"N/A"
223,"Mason Taylor","NYJ","TE",23,9,169.5,126.86,1
224,"Isaiah Likely","BAL","TE",24,7,168.4,126.97,1
225,"Zach Ertz","WAS","TE",25,12,152.8,130.28,1
226,"Evan Engram","DEN","TE",26,12,126.1,146.57,6
227,"Jonnu Smith","PIT","TE",27,5,166.6,132.05,1
228,"Aaron Rodgers","PIT","QB",25,5,166,231.67,"N/A"
229,"Ja'Tavion Sanders","CAR","TE",28,14,169.5,109.21,1
230,"Green Bay Packers DST","GB","DST",13,5,132.8,114.97,"N/A"
231,"Matthew Stafford","LAR","QB",26,8,158.9,227.7,1
232,"San Francisco 49ers DST","SF","DST",14,14,165.3,114.44,"N/A"
233,"Jake Elliott","PHI","K",13,9,137.4,148.03,"N/A"
234,"C.J. Stroud","HOU","QB",27,6,151.8,246.44,2
235,"Will Reichard","MIN","K",14,6,167.4,131.49,"N/A"
236,"Cam Ward","TEN","QB",28,10,167,235.65,1
