"Offense","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"JAX","6.794563543620045","6.912699242523512","5.72508002070355","3.5153402905273863","","7.943128837532982","5.6853661416137395","5.657702824316605","7.309868500845489","6.831129966373642","6.454274584552911","5.5308180556692665","6.150809535619644","6.454274584552911","10","5.998120059561981","3","5.585439049046325","13","6.39143242094309"
"KC","9.951283433230126","5.216824635259685","6.174806522538031","8.54207142053465","3.4650685562688075","7.842662854900043","","6.150809535619644","6.454274584552911","10","5.657668989688829","5.657702824316605","6.831129966373642","6.150809535619644","10","9.020675188615296","3","5.880133029628032","13","9.26926588437393"
"LA","6.454274584552911","6.794563543620045","9.951283433230126","5.216824635259685","","4.5267369863945195","6.827826369542537","5.72508002070355","6.0849963253965464","8.86915725879029","7.309868500845489","6.174806522538031","5.72508002070355","7.73716584079008","10","8.74492386063212","3","6.463629778714122","13","9.582380138905421"
"LAC","5.709351331563097","3.4650685562688075","8.420854825559411","6.454274584552911","4.3396508260799465","5.529302682191604","4.802288291564821","5.216824635259685","","8.54207142053465","2.710909856824046","6.912699242523512","10","5.657668989688829","10","2.8633592138950497","3","8.179654445003964","13","5.575937811404982"
"LV","8.762108415548566","6.454274584552911","6.831129966373642","6.912699242523512","","3.2518124609609234","6.18092085999718","10","0","5.657702824316605","6.150809535619644","2.710909856824046","5.657668989688829","5.709351331563097","10","5.4580195265167575","3","3.211477156194362","13","4.463310820419762"
"MIA","5.5308180556692665","8.86915725879029","5.657702824316605","0","7.73716584079008","9.931269814766852","8.512329384504465","3.4650685562688075","","6.120502481596715","5.5308180556692665","4.778893191744401","8.01747765123068","6.0849963253965464","10","5.366065364674793","3","6.021544937824084","13","6.238482319327091"
"MIN","4.778893191744401","0","","2.710909856824046","5.657702824316605","4.60335007800329","10","8.762108415548566","2.9119110323044954","5.72508002070355","3.4650685562688075","10","5.709351331563097","6.174806522538031","10","0","3","7.778213210561628","13","2.84338737958851"
"NE","8.86915725879029","8.470860238221729","6.120502481596715","6.831129966373642","0","6.807553954919365","6.114785460815072","5.5308180556692665","8.01747765123068","5.709351331563097","","8.470860238221729","9.951283433230126","5.5308180556692665","10","5.985031635468914","3","8.988488087036368","13","8.276474498166301"
"NO","8.470860238221729","5.709351331563097","5.877427413066991","8.762108415548566","6.0849963253965464","0.8513285611581133","8.91257627048757","","7.73716584079008","8.420854825559411","6.0849963253965464","8.86915725879029","5.5308180556692665","6.831129966373642","10","9.207588400681159","3","7.39616968640214","13","9.31861841944322"
"NYG","5.657702824316605","6.120502481596715","2.710909856824046","6.150809535619644","2.710909856824046","5.477714132837535","8.805003369002062","2.9119110323044954","6.174806522538031","5.877427413066991","","3.4650685562688075","4.3396508260799465","8.54207142053465","10","3.033516069604278","3","4.538787612365709","13","3.481318233785676"
