"Offense","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"LV","6.552950784993373","7.464115825347076","3.813956420958842","3.5372641386050425","","2.9314172188822956","5.179320180949793","2.239418200848886","0.2875239229228039","1.5072284531460705","6.425655000576526","0","0.482016946102023","1.0582008814996289","10","2.2782557478629344","3","0","13","0"
"MIA","3.1349033356679334","10","1.5072284531460705","0.2875239229228039","4.459811640578863","2.796566953581732","3.468830943390669","7.719079879151373","","6.029788726694575","3.8892763126037684","3.9716152084790646","7.159782631491622","3.7974686943099285","10","4.511524442668032","3","5.712910776692701","13","5.692742035743788"
"MIN","3.9716152084790646","0.2875239229228039","","0","1.5072284531460705","1.477805425811557","3.143784633430225","6.552950784993373","3.788878808539158","8.060377005122575","9.57657423994647","2.239418200848886","1.0582008814996289","1.8885896460853113","10","2.0412258423857845","3","1.5557373388023052","13","1.4238038880597985"
"NE","10","3.468830943390669","6.029788726694575","3.813956420958842","0.2875239229228039","4.179241202628305","3.7974686943099285","3.1349033356679334","7.159782631491622","1.0582008814996289","","3.468830943390669","3.143784633430225","3.1349033356679334","10","4.18518567850188","3","3.50203966379547","13","4.479033798916826"
"NO","3.468830943390669","1.0582008814996289","3.6144377574183446","6.552950784993373","3.7974686943099285","7.385870756708962","10","","4.459811640578863","7.3429079694898665","4.711279251450074","10","3.1349033356679334","3.813956420958842","10","7.562237065013186","3","6.5748380183142405","13","7.184368873948107"
"NYG","1.5072284531460705","6.029788726694575","0","5.179320180949793","0","3.1036998015767536","6.552950784993373","3.788878808539158","1.8885896460853113","3.6144377574183446","","7.719079879151373","1.8260282634591993","7.175119438175328","10","1.5751403892183071","3","6.47728110649472","13","3.9327975671507605"
"NYJ","7.3429079694898665","2.239418200848886","5.179320180949793","10","7.159782631491622","","0.2875239229228039","3.6144377574183446","3.143784633430225","4.459811640578863","9.10988154130168","3.272134887424665","6.029788726694575","3.6144377574183446","10","5.903676533694172","3","4.854178675771351","13","6.531828443407573"
"PHI","3.7974686943099285","5.179320180949793","1.0582008814996289","1.8260282634591993","1.0582008814996289","","3.788878808539158","1.8885896460853113","2.239418200848886","6.552950784993373","1.8699230224444694","7.175119438175328","7.719079879151373","3.468830943390669","10","0","3","7.178261865626769","13","3.1900013761689343"
"PIT","1.8260282634591993","","0.2875239229228039","7.159782631491622","3.788878808539158","7.33569164780727","1.5072284531460705","7.159782631491622","6.552950784993373","3.468830943390669","3.9002947770709357","7.3429079694898665","1.8885896460853113","0.2875239229228039","10","2.7877010415662324","3","3.404540271667338","13","3.859662159343828"
"SEA","3.464558452103062","3.7974686943099285","3.272134887424665","0.482016946102023","","7.603567785388625","3.464558452103062","7.5118762161656765","3.813956420958842","1.8260282634591993","5.533006257330816","7.464115825347076","7.5118762161656765","10","10","3.2223873071309312","3","10","13","6.880291753290738"
"SF","3.272134887424665","7.5118762161656765","3.7974686943099285","4.459811640578863","0.482016946102023","0.6053634810388077","7.5118762161656765","3.464558452103062","10","0.2875239229228039","","3.813956420958842","7.464115825347076","6.552950784993373","10","2.4599150104808953","3","6.951255399118703","13","4.950305233305211"
"TB","0","8.060377005122575","3.4361131576814286","1.8885896460853113","6.029788726694575","","3.6144377574183446","3.468830943390669","7.5118762161656765","3.464558452103062","7.480777540383645","4.459811640578863","10","7.3429079694898665","10","3.6494362646083625","3","8.645970727282217","13","7.049822536038124"
"TEN","0.482016946102023","3.464558452103062","7.175119438175328","3.6144377574183446","7.464115825347076","1.0771310489192185","","0.482016946102023","8.060377005122575","3.272134887424665","0.3567127477288904","3.4361131576814286","3.5372641386050425","6.029788726694575","10","2.8363230457809863","3","4.891218054394454","13","3.8186054432651595"
"WAS","4.459811640578863","1.5072284531460705","6.552950784993373","2.239418200848886","3.5372641386050425","7.9621491403233","1.8885896460853113","7.3429079694898665","","5.179320180949793","2.2654377857248016","1.0582008814996289","0","2.239418200848886","10","3.975102323227382","3","0.7498797516591946","13","2.437583484057318"
