"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jalen Cropper","DAL","3","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Drake London","ATL","6","WR","56","38","1","469","2","2","0","0","67.9","9.88","8.38","12.34","3.74","6","2","2","10.7","5.3","100","3","1","5.4","2.6","50","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","96.9","0.26","2.55"
"Amon-Ra St. Brown","DET","7","WR","60","50","0","538","2","7","0","1","83.3","7.53","8.97","10.76","4.4","18","16","7","30","32","100","3","3","5","6","42.9","3","0","9","0","0","0","3","4","0","0","1","1","0","33.3","0","0","0","0","0","0","0","146.7","0.38","2.77"
"Brycen Tremayne","CAR","7","WR","11","9","0","108","0","0","0","0","81.8","9","9.82","12","4.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","19.8","0.12","2.2"
"Justin Shorter","LV","3","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jahan Dotson","PHI","7","WR","11","7","1","111","0","0","0","0","63.6","16.91","10.09","15.86","4.29","2","0","0","18.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.1","0.07","2.59"
"Kevin Austin Jr.","NO","1","WR","1","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Rashod Bateman","BLT","6","WR","19","11","0","120","0","1","0","1","57.9","12.79","6.32","10.91","2.18","5","3","1","26.3","27.3","100","1","1","5.3","9.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0.13","2.64"
"Bryce Oliver","TEN","2","WR","1","1","0","8","0","0","0","0","100","6","8","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8","0.16","1.8"
"Nikko Remigio","KC","6","WR","1","1","0","21","0","0","0","0","100","18","21","21","3","0","0","0","0","0","0","0","0","0","0","0","1","0","11","0","0","0","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2","0.17","2.1"
"Tyquan Thornton","KC","7","WR","26","14","1","311","0","3","1","0","53.8","26","11.96","22.21","2.86","12","7","3","46.2","50","100","4","3","15.4","21.4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.1","0.26","4.51"
"Alec Pierce","IND","5","WR","27","16","2","317","0","0","0","0","59.3","21.11","11.74","19.81","2.69","8","3","0","29.6","18.8","0","2","0","7.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.7","0.19","2.98"
"Rome Odunze","CHI","6","WR","44","24","0","359","1","5","0","2","54.5","14.23","8.16","14.96","5.42","12","6","4","27.3","25","80","5","2","11.4","8.3","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","89.9","0.25","3.75"
"Tim Jones","MIN","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jalen Tolbert","DAL","7","WR","22","12","0","125","0","0","0","1","54.5","11.41","5.68","10.42","2.5","6","1","0","27.3","8.3","0","3","0","13.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","24.5","0.07","2.04"
"Tylan Wallace","BLT","6","WR","5","3","0","39","0","1","0","0","60","11.4","7.8","13","3.33","2","1","1","40","33.3","100","2","1","40","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.9","0.12","4.3"
"CeeDee Lamb","DAL","4","WR","31","21","1","332","3","1","1","5","67.7","12.13","10.71","15.81","5.67","5","2","0","16.1","9.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.2","0.31","2.87"
"Marquise Brown","KC","7","WR","46","32","1","316","0","4","0","1","69.6","9.46","6.87","9.88","3.28","12","8","4","26.1","25","100","3","3","6.5","9.4","75","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","87.6","0.31","2.74"
"Calvin Austin III","PIT","4","WR","15","10","0","139","0","2","0","0","66.7","14.2","9.27","13.9","3.4","5","3","2","33.3","30","100","2","2","13.3","20","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.9","0.21","3.59"
"Tee Higgins","CIN","7","WR","45","24","1","316","0","3","1","0","53.3","13.11","7.02","13.17","3.17","16","8","3","35.6","33.3","100","5","1","11.1","4.2","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.6","0.2","3.07"
"Tyrell Shavers","BUF","6","WR","10","5","0","51","0","0","0","0","50","12","5.1","10.2","4","2","1","0","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1","0.09","2.02"
"A.J. Brown","PHI","7","WR","49","29","1","395","2","3","0","0","59.2","12.1","8.06","13.62","3.45","9","5","3","18.4","17.2","100","2","1","4.1","3.4","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.5","0.22","2.98"
"Deebo Samuel","WAS","6","WR","42","34","0","315","0","3","0","2","81","6.52","7.5","9.26","5.18","8","5","3","19","14.7","100","3","2","7.1","5.9","66.7","8","0","45","0","1","0","5.63","4.13","4","0.5","1","1","1","12.5","100","0","0","0","0","0","0","94","0.33","2.24"
"Calvin Ridley","TEN","6","WR","34","16","1","290","1","0","0","3","47.1","13.65","8.53","18.13","5","6","1","0","17.6","6.3","0","2","0","5.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0.18","2.81"
"Darnell Mooney","ATL","4","WR","20","10","0","147","0","0","0","3","50","15.4","7.35","14.7","2.6","4","1","0","20","10","0","2","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.7","0.12","2.47"
"Trent Sherfield","DEN","7","WR","4","3","0","21","0","0","0","0","75","9.25","5.25","7","4.33","2","1","0","50","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1","0.04","1.7"
"Alex Bachman","LV","6","WR","2","1","0","9","0","0","0","0","50","5.5","4.5","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.1","1.9"
"Scott Miller","PIT","6","WR","2","1","0","9","0","0","0","0","50","3","4.5","9","10","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.03","1.9"
"Olamide Zaccheaus","CHI","6","WR","29","18","0","152","0","0","0","1","62.1","6.48","5.24","8.44","3.44","8","5","0","27.6","27.8","0","0","0","0","0","0","4","0","25","0","0","0","6.25","2.5","1","0.25","0","0","0","0","0","0","0","0","0","0","1","35.7","0.16","1.62"
"D'Wayne Eskridge","MIA","7","WR","5","4","1","62","0","0","0","0","80","14.2","12.4","15.5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.2","0.18","2.55"
"Darius Slayton","NYG","5","WR","17","12","1","166","0","0","0","1","70.6","14.71","9.76","13.83","5.5","3","1","0","17.6","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","28.6","0.09","2.38"
"Kendrick Bourne","SF","6","WR","34","25","2","385","2","0","0","5","73.5","9.76","11.32","15.4","5.8","5","3","0","14.7","12","0","1","0","2.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.5","0.21","2.54"
"Noah Brown","WAS","2","WR","7","3","0","36","0","0","0","1","42.9","14.86","5.14","12","2.67","2","0","0","28.6","0","0","1","0","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.6","0.11","2.2"
"Mack Hollins","NE","7","WR","14","11","0","119","0","2","0","0","78.6","11.57","8.5","10.82","2.09","3","3","2","21.4","27.3","100","2","2","14.3","18.2","100","1","0","4","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","35.3","0.14","2.94"
"Cooper Kupp","SEA","7","WR","30","24","0","293","0","1","0","1","80","8.07","9.77","12.21","5.38","5","4","1","16.7","16.7","100","1","1","3.3","4.2","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.3","0.19","2.47"
"Robbie Chosen","WAS","1","WR","4","4","0","36","0","0","0","0","100","7.5","9","9","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6","0.23","1.9"
"Kalif Raymond","DET","7","WR","12","9","0","64","0","0","0","1","75","5.92","5.33","7.11","3.33","2","1","0","16.7","11.1","0","0","0","0","0","0","1","0","9","0","0","0","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","16.3","0.09","1.63"
"Tyreek Hill","MIA","4","WR","29","21","1","265","1","1","0","1","72.4","13.14","9.14","12.62","2.9","4","3","1","13.8","14.3","100","1","1","3.4","4.8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.5","0.35","2.55"
