"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Nikko Remigio","KC","5","WR","1","1","0","21","0","0","0","0","100","18","21","21","3","0","0","0","0","0","0","0","0","0","0","0","1","0","11","0","0","0","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2","0.32","2.1"
"Jaylen Waddle","MIA","6","WR","39","29","2","390","1","3","1","1","74.4","11.56","10","13.45","2.79","10","7","3","25.6","24.1","100","3","2","7.7","6.9","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86","0.31","2.97"
"Ryan Miller","TB","6","WR","3","1","0","20","0","1","0","0","33.3","19","6.67","20","0","3","1","1","100","100","100","1","1","33.3","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0.12","9"
"Tyquan Thornton","KC","6","WR","24","13","1","272","0","3","1","0","54.2","24.96","11.33","20.92","2.77","11","7","3","45.8","53.8","100","4","3","16.7","23.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.2","0.27","4.48"
"Alec Pierce","IND","4","WR","17","11","1","219","0","0","0","0","64.7","19.18","12.88","19.91","3.18","5","2","0","29.4","18.2","0","2","0","11.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.9","0.16","2.99"
"Dyami Brown","JAX","5","WR","23","14","0","144","0","1","0","3","60.9","12.61","6.26","10.29","2","7","3","1","30.4","21.4","100","2","1","8.7","7.1","100","4","0","22","0","0","0","5.5","2.25","0","0","0","0","0","0","0","0","0","0","0","0","0","36.6","0.17","2.03"
"Rome Odunze","CHI","4","WR","33","20","0","296","1","5","0","2","60.6","13.12","8.97","14.8","4.5","11","6","4","33.3","30","80","5","2","15.2","10","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","79.6","0.34","3.98"
"Malachi Corley","CLV","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","11","0","0","0","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1","0.08","1.1"
"Joshua Palmer","BUF","5","WR","18","12","0","174","0","0","0","0","66.7","12","9.67","14.5","3","4","2","0","22.2","16.7","0","1","0","5.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.4","0.18","2.45"
"Tim Jones","MIN","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jalen Tolbert","DAL","6","WR","20","11","0","109","0","0","0","1","55","10.9","5.45","9.91","2.73","5","1","0","25","9.1","0","3","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","21.9","0.07","1.99"
"Tylan Wallace","BLT","6","WR","5","3","0","39","0","1","0","0","60","11.4","7.8","13","3.33","2","1","1","40","33.3","100","2","1","40","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.9","0.12","4.3"
"CeeDee Lamb","DAL","3","WR","24","16","0","222","2","0","0","5","66.7","12.58","9.25","13.88","3.69","4","2","0","16.7","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.2","0.26","2.39"
"Marquise Brown","KC","6","WR","42","30","1","302","0","3","0","1","71.4","9.33","7.19","10.07","3.47","10","7","3","23.8","23.3","100","2","2","4.8","6.7","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.2","0.31","2.61"
"Nico Collins","HST","5","WR","35","22","1","312","1","3","1","0","62.9","11.83","8.91","14.18","4.68","10","5","3","28.6","22.7","100","4","2","11.4","9.1","66.7","1","0","8","0","0","0","8","5","0","0","1","0","0","0","0","0","0","0","0","0","0","72","0.29","3.13"
"Calvin Austin III","PIT","4","WR","15","10","0","139","0","2","0","0","66.7","14.2","9.27","13.9","3.4","5","3","2","33.3","30","100","2","2","13.3","20","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.9","0.21","3.59"
"A.J. Brown","PHI","6","WR","43","25","0","274","1","1","0","0","58.1","11.3","6.37","10.96","2.8","7","3","1","16.3","12","100","2","1","4.7","4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.4","0.17","2.34"
"Deebo Samuel","WAS","5","WR","37","30","0","300","0","3","0","2","81.1","6.73","8.11","10","5.5","7","5","3","18.9","16.7","100","2","2","5.4","6.7","66.7","7","0","46","0","1","0","6.57","4.43","4","0.57","1","1","1","14.3","100","0","0","0","0","0","0","88.6","0.38","2.39"
"DJ Moore","CHI","4","WR","20","16","0","173","0","1","0","0","80","9","8.65","10.81","4.13","4","2","1","20","12.5","100","1","1","5","6.3","100","6","0","15","0","0","0","2.5","1.83","1","0.17","1","0","0","0","0","0","0","0","0","0","0","40.8","0.18","1.85"
"Calvin Ridley","TEN","6","WR","34","16","1","290","1","0","0","3","47.1","13.65","8.53","18.13","5","6","1","0","17.6","6.3","0","2","0","5.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0.18","2.81"
"Allen Lazard","NYJ","4","WR","6","4","0","24","0","1","0","0","66.7","8.67","4","6","2","4","2","1","66.7","50","100","2","1","33.3","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.4","0.13","3.1"
"Malik Turner","SF","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jauan Jennings","SF","4","WR","21","10","1","136","0","1","1","0","47.6","10.62","6.48","13.6","7.3","5","1","0","23.8","10","0","2","0","9.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","29.6","0.14","2.96"
"Trent Sherfield","DEN","6","WR","4","3","0","21","0","0","0","0","75","9.25","5.25","7","4.33","2","1","0","50","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1","0.04","1.7"
"Alex Bachman","LV","5","WR","2","1","0","9","0","0","0","0","50","5.5","4.5","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.11","1.9"
"KaVontae Turpin","DAL","4","WR","13","11","0","159","0","1","0","0","84.6","11.69","12.23","14.45","4.09","3","2","1","23.1","18.2","100","2","1","15.4","9.1","100","6","0","23","0","0","0","3.83","2.17","2","0.33","0","0","0","0","0","0","0","0","0","0","0","35.2","0.26","2.07"
"Olamide Zaccheaus","CHI","4","WR","20","14","0","119","0","0","0","0","70","6.45","5.95","8.5","3.36","5","4","0","25","28.6","0","0","0","0","0","0","2","0","21","0","0","0","10.5","3.5","1","0.5","0","0","0","0","0","0","0","0","0","0","0","28","0.21","1.75"
"David Sills V","ATL","4","WR","2","1","0","9","0","0","0","0","50","17.5","4.5","9","3","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.04","1.9"
"Ben Skowronek","PIT","5","WR","2","1","0","22","0","1","0","0","50","12","11","22","13","2","1","1","100","100","100","1","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2","0.2","9.2"
"KhaDarel Hodge","ATL","3","WR","1","0","0","0","0","0","0","0","0","29","0","0","0","1","0","0","100","0","0","1","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Darius Slayton","NYG","5","WR","17","12","1","166","0","0","0","1","70.6","14.71","9.76","13.83","5.5","3","1","0","17.6","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","28.6","0.09","2.38"
"Tim Patrick","JAX","6","WR","5","3","0","41","0","1","0","1","60","10.8","8.2","13.67","8.33","3","1","1","60","33.3","100","1","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.1","0.16","4.37"
"Noah Brown","WAS","2","WR","7","3","0","36","0","0","0","1","42.9","14.86","5.14","12","2.67","2","0","0","28.6","0","0","1","0","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.6","0.11","2.2"
"Mack Hollins","NE","6","WR","12","9","0","70","0","2","0","0","75","10.92","5.83","7.78","0.56","2","2","2","16.7","22.2","100","2","2","16.7","22.2","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0.13","3.11"
"Josh Reynolds","NYJ","4","WR","12","8","0","72","0","0","0","1","66.7","9.33","6","9","1.25","2","0","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","15.2","0.07","1.9"
"Chris Godwin","TB","2","WR","14","6","0","52","0","0","0","1","42.9","11.57","3.71","8.67","3.5","3","1","0","21.4","16.7","0","1","0","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2","0.11","1.87"
"Zay Jones","ARZ","5","WR","13","10","0","116","0","0","0","0","76.9","11.77","8.92","11.6","2.4","2","1","0","15.4","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.6","0.12","2.16"
"Tyreek Hill","MIA","4","WR","29","21","1","265","1","1","0","1","72.4","13.14","9.14","12.62","2.9","4","3","1","13.8","14.3","100","1","1","3.4","4.8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.5","0.35","2.55"
"Demarcus Robinson","SF","3","WR","11","6","0","103","0","0","0","1","54.5","15.64","9.36","17.17","3.33","3","1","0","27.3","16.7","0","1","0","9.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.3","0.15","2.72"
"Sterling Shepard","TB","6","WR","27","19","0","242","0","1","0","0","70.4","10","8.96","12.74","5.37","6","3","1","22.2","15.8","100","2","1","7.4","5.3","100","2","0","1","0","0","0","0.5","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","49.3","0.21","2.35"
"Adam Thielen","MIN","5","WR","8","4","0","37","0","0","0","1","50","12.88","4.63","9.25","0.5","2","1","0","25","25","0","1","0","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7.7","0.05","1.93"
"Keenan Allen","LAC","6","WR","50","33","0","316","0","3","0","3","66","8.54","6.32","9.58","2.91","13","7","3","26","21.2","100","7","3","14","9.1","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","82.6","0.33","2.5"
"DeAndre Hopkins","BLT","6","WR","13","9","1","178","0","2","0","0","69.2","17.31","13.69","19.78","3.11","5","4","2","38.5","44.4","100","1","1","7.7","11.1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.8","0.4","4.31"
"Dylan Sampson","CLV","6","RB","15","14","0","95","0","1","0","1","93.3","-1.2","6.33","6.79","8.36","1","1","1","6.7","7.1","100","1","1","6.7","7.1","100","22","0","43","0","0","0","1.95","2.05","1","0.05","0","2","0","9.1","0","0","0","0","0","0","0","33.8","0.39","0.94"
"Omarion Hampton","LAC","5","RB","21","20","0","136","0","0","0","0","95.2","-1.29","6.48","6.8","8.3","0","0","0","0","0","0","0","0","0","0","0","66","1","314","1","2","1","4.76","3.79","22","0.33","1","12","1","18.2","50","4","1","6.1","50","0","0","77","0.31","0.9"
"LeQuint Allen","JAX","6","RB","5","4","0","30","0","0","0","0","80","-1","6","7.5","6.75","0","0","0","0","0","0","0","0","0","0","0","4","0","22","0","0","0","5.5","3.25","0","0","0","1","0","25","0","0","0","0","0","0","0","9.2","0.11","1.15"
"Ollie Gordon II","MIA","6","RB","4","3","0","5","0","0","0","0","75","-2","1.25","1.67","5","0","0","0","0","0","0","0","0","0","0","0","23","0","59","0","1","0","2.57","2.48","5","0.22","0","7","1","30.4","100","2","1","8.7","100","0","0","15.4","0.2","0.59"
"Trevor Etienne","CAR","6","RB","2","2","0","9","0","0","0","0","100","0.5","4.5","4.5","4","0","0","0","0","0","0","0","0","0","0","0","15","0","76","0","0","0","5.07","3.27","3","0.2","0","4","0","26.7","0","1","0","6.7","0","0","0","10.5","0.27","0.62"
"Jaydon Blue","DAL","2","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","7","0","0","0","1","2.14","2","0.29","0","0","0","0","0","0","0","0","0","0","0","0.7","0.04","0.1"
