"Offense","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"LV","9.833084113726967","6.564960977970361","5.877154676060684","1.7887141640833049","","3.543773920526273","5.783022142208102","6.977230282711412","4.147525884082242","1.5905059881704227","5.783022142208102","0","1.2707615645474646","3.032354917557345","10","3.561330840092091","3","0","13","0"
"MIA","3.7786449341473634","7.675842639206393","1.5905059881704227","4.147525884082242","4.572770227105927","1.0705284133905906","5.156266459642433","9.479964153894766","","8.343910176544608","3.7786449341473634","4.446287784665128","6.4694626604042496","5.303930546812923","10","3.537436701361109","3","5.8606686770896586","13","4.029838229022476"
"MIN","4.446287784665128","4.147525884082242","","0","1.617504711416105","3.6932778183062864","2.2052513417887813","9.833084113726967","3.1283867418440514","8.775670641934692","9.479964153894766","6.977230282711412","3.032354917557345","4.494711832983817","10","1.8925572837903437","3","5.017028127225256","13","2.3373177121865947"
"NE","7.675842639206393","5.156266459642433","8.343910176544608","5.877154676060684","4.21792983372562","3.695261490326339","5.303930546812923","3.7786449341473634","6.4694626604042496","3.032354917557345","","5.156266459642433","2.2052513417887813","3.7786449341473634","10","4.445939681064038","3","3.3625180133645","13","3.5298373674872625"
"NO","5.156266459642433","3.032354917557345","5.224896163798234","9.833084113726967","5.393964381336519","8.051777044927501","7.675842639206393","","4.496443427587894","8.668033248641871","5.303930546812923","7.675842639206393","3.7786449341473634","5.877154676060684","10","8.502616630043935","3","6.407540764830113","13","7.553527650456042"
"NYG","1.5905059881704227","8.343910176544608","0","5.783022142208102","0","3.1910055233264956","9.833084113726967","3.1283867418440514","4.494711832983817","5.224896163798234","","9.479964153894766","3.1931171498883995","10","10","1.5085647027656923","3","9.034506324479212","13","4.720637744959659"
"NYJ","8.668033248641871","6.977230282711412","5.783022142208102","7.675842639206393","6.579281317621286","","4.147525884082242","5.224896163798234","2.2052513417887813","4.496443427587894","8.668033248641871","4.3642063159086915","8.343910176544608","5.224896163798234","10","5.728717430799825","3","6.703299891026848","13","6.445570359989686"
"PHI","5.303930546812923","5.783022142208102","3.032354917557345","3.1931171498883995","3.083828921308813","","3.1283867418440514","4.494711832983817","6.977230282711412","9.833084113726967","1.5905059881704227","10","9.479964153894766","5.156266459642433","10","1.9132584126230188","3","10","13","5.686856684802287"
"PIT","3.1931171498883995","","4.147525884082242","6.4694626604042496","3.181490878814745","6.064904118005613","1.5905059881704227","6.4694626604042496","9.833084113726967","5.156266459642433","2.2052513417887813","8.668033248641871","4.494711832983817","4.147525884082242","10","1.4322578493989697","3","6.397030184124982","13","3.1461580134897904"
"SEA","6.066049506459196","5.303930546812923","4.3642063159086915","1.2707615645474646","","9.40425977598093","6.066049506459196","8.299349729975024","5.877154676060684","3.1931171498883995","4.496443427587894","6.564960977970361","8.299349729975024","7.675842639206393","10","4.215302684358328","3","8.969131214807298","13","5.791935060281949"
"SF","4.3642063159086915","8.299349729975024","5.303930546812923","4.496443427587894","1.2923326495025949","2.018037846068478","8.299349729975024","6.066049506459196","7.675842639206393","4.147525884082242","","5.877154676060684","6.564960977970361","9.833084113726967","10","2.519280099101641","3","8.838824771002816","13","5.333306704826711"
"TB","0","8.775670641934692","4.056266370743763","4.494711832983817","8.485547443753202","","5.224896163798234","5.156266459642433","8.299349729975024","6.066049506459196","8.343910176544608","4.496443427587894","7.675842639206393","8.668033248641871","10","5.163797656500036","3","8.133138252426837","13","6.802576803656667"
"TEN","1.2707615645474646","6.066049506459196","10","5.224896163798234","6.67640071216892","0.36629131623253897","","1.2707615645474646","8.775670641934692","4.3642063159086915","4.147525884082242","4.056266370743763","1.7887141640833049","8.343910176544608","10","4.056282444132481","3","4.86190859175119","13","3.7239559960366413"
"WAS","4.496443427587894","1.5905059881704227","9.833084113726967","6.977230282711412","1.8190774566712629","8.597438519845129","4.494711832983817","8.668033248641871","","5.783022142208102","3.1931171498883995","3.032354917557345","0","6.977230282711412","10","4.9908947479530195","3","2.8064902804742915","13","2.514588330166357"
