"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"43","Davante Adams","LA","wr","8","11","160.8","0","0","0","0","0","0","0","0","0","91.7596","59.8186","684.2754","5.3383","0","0","0.2453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Jaylen Warren","PIT","rb","5","12","133","0","0","0","0","0","0","133.1496","567.4824","3.4913","36.3416","30.3435","208.1565","0.9234","2.1074","0.9637","0.2502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Jordan Mason","MIN","rb","6","12","132.4","0","0","0","0","0","0","170.1935","766.6258","4.8084","19.9058","16.1845","102.4085","0.3665","2.4762","1.1089","0.2212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Jalen Hurts","PHI","qb","9","11","187.7","216.944","297.625","2195.0779","13.559","5.6119","24.9871","69.0027","311.542","3.955","0","0","0","0","0","0","0.989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Derrick Henry","BLT","rb","7","11","131","0","0","0","0","0","0","155.7127","742.8325","6.7259","10.8092","9.0251","64.0701","0.4006","2.2032","0.9802","0.2437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","A.J. Brown","PHI","wr","9","11","155.4","0","0","0","0","0","0","0","0","0","88.5965","57.5464","718.5453","4.2339","0","0","0.2776","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Kyle Pitts","ATL","te","5","12","113.1","0","0","0","0","0","0","0","0","0","67.0306","45.1743","489.8233","3.0938","0","0","0.1688","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Cam Skattebo","NYG","rb","14","11","129","0","0","0","0","0","0","121.962","519.8768","4.4165","34.1957","27.7147","192.1005","0.8177","1.9482","0.8905","0.2204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Alvin Kamara","NO","rb","11","11","128","0","0","0","0","0","0","121.2829","511.3629","3.1539","40.5053","32.053","220.8186","0.8621","1.9858","0.9123","0.2275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Lamar Jackson","BLT","qb","7","11","184.1","181.5297","255.8056","1986.7585","15.3903","4.9174","21.0786","63.3602","392.3197","1.9578","0","0","0","0","0","0","0.9709","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Brian Thomas Jr.","JAX","wr","8","11","153.3","0","0","0","0","0","0","5.0456","30.0201","0.2367","89.0997","54.5892","701.2708","4.079","0.6567","0.3548","0.2158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Travis Etienne Jr.","JAX","rb","8","11","127.3","0","0","0","0","0","0","139.4181","609.9421","3.8071","29.6999","24.5026","159.021","0.7578","2.1497","0.9753","0.2234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Hunter Henry","NE","te","14","11","111","0","0","0","0","0","0","0","0","0","62.0361","44.2685","445.1327","3.653","0","0","0.1587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","Rhamondre Stevenson","NE","rb","14","11","125.8","0","0","0","0","0","0","126.4796","528.3536","3.94","32.3815","26.6311","187.2869","0.8025","1.9976","0.911","0.22","326.3746","0.0834","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Justin Fields","NYJ","qb","9","11","181.5","197.7614","275.9071","1881.4096","11.6304","6.0086","32.4303","95.5828","483.8518","3.6155","0","0","0","0","0","0","0.8251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Ladd McConkey","LAC","wr","12","11","150.9","0","0","0","0","0","0","0","0","0","84.5226","58.9564","681.7597","3.8949","0","0","0.2098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","Omarion Hampton","LAC","rb","12","8","125","0","0","0","0","0","0","129.084","553.2031","4.0224","30.5019","25.5451","173.4604","0.6718","2.0212","0.92","0.2265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","D.K. Metcalf","PIT","wr","5","12","150.6","0","0","0","0","0","0","0","0","0","83.4511","52.134","681.5696","4.9712","0","0","0.2221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Trey Benson","ARZ","rb","8","9","123.9","0","0","0","0","0","0","125.6698","551.3056","3.7191","30.6318","25.2687","171.9631","0.8865","1.972","0.898","0.2231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Sam LaPorta","DET","te","8","11","107","0","0","0","0","0","0","0","0","0","55.8875","43.1127","415.7065","3.6531","0","0","0.1836","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","Dallas Goedert","PHI","te","9","11","106.3","0","0","0","0","0","0","0","0","0","57.1698","43.9647","418.8384","3.3554","0","0","0.1791","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","David Njoku","CLV","te","9","11","106.1","0","0","0","0","0","0","0","0","0","65.7413","46.7722","419.7158","2.8527","0","0","0.1395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","C.J. Stroud","HST","qb","6","12","178.3","253.6627","363.7581","2673.6796","15.5374","6.9667","32.4979","36.5807","190.9512","0.3821","0","0","0","0","0","0","0.8642","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Chase Brown","CIN","rb","10","11","121.9","0","0","0","0","0","0","144.6778","589.8246","3.6661","27.7798","22.2368","152.0677","0.8199","2.1883","0.9895","0.2617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","Baker Mayfield","TB","qb","9","11","177","231.7486","324.7714","2407.9793","17.4826","7.013","24.3416","46.5877","155.8015","1.2186","0","0","0","0","0","0","0.9444","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","Michael Penix Jr.","ATL","qb","5","12","176.2","270.1597","397.4581","2810.2731","15.4452","8.6352","22.2643","31.1369","149.688","0.3859","0","0","0","0","0","0","1.0135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","Harold Fannin Jr.","CLV","te","9","11","103.5","0","0","0","0","0","0","0","0","0","64.108","45.7966","409.6612","2.7428","0","0","0.1361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","DJ Moore","CHI","wr","5","12","145.5","0","0","0","0","0","0","8.1155","43.8257","0.3487","84.8889","57.7383","622.1083","3.242","0.7322","0.3918","0.2079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","Zay Flowers","BLT","wr","7","11","145.4","0","0","0","0","0","0","5.5529","36.204","0.2624","76.7191","53.6472","662.6674","3.4132","0.6534","0.3522","0.2832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","TreVeyon Henderson","NE","rb","14","11","119.1","0","0","0","0","0","0","115.6385","461.8369","3.2561","34.7675","29.2949","198.8975","0.8113","1.8797","0.8623","0.2144","432.6361","0.1106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","Courtland Sutton","DEN","wr","12","11","144.4","0","0","0","0","0","0","0","0","0","86.1636","54.7029","617.5734","4.5832","0","0","0.2091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","J.K. Dobbins","DEN","rb","12","11","118.4","0","0","0","0","0","0","141.6846","623.1293","4.4841","20.4971","16.9662","107.2205","0.4894","2.0991","0.9439","0.2068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Chris Olave","NO","wr","11","11","143.6","0","0","0","0","0","0","0","0","0","90.7618","57.7567","655.8187","3.299","0","0","0.2161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Justin Herbert","LAC","qb","12","11","173.9","251.8718","351.8501","2545.0789","15.8919","6.0317","27.0535","39.1292","141.7417","0.772","0","0","0","0","0","0","0.8881","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","Kyler Murray","ARZ","qb","8","11","173","234.7072","325.8529","2207.6074","14.0511","5.7724","23.2307","51.4043","283.0703","1.6835","0","0","0","0","0","0","0.8368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Caleb Williams","CHI","qb","5","12","172.6","250.5454","367.2445","2402.8596","13.6584","7.3539","35.6528","64.8968","250.3357","1.6265","0","0","0","0","0","0","0.8977","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
