Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
213,"Evan McPherson","CIN","K",10,10,168.7,143.66,"N/A"
214,"Ka'imi Fairbairn","HOU","K",11,6,158,138.15,"N/A"
215,"Chris Boswell","PIT","K",12,5,147.1,143.59,"N/A"
216,"Los Angeles Chargers DST","LAC","DST",12,12,168.7,97.66,"N/A"
217,"Trevor Lawrence","JAX","QB",21,8,163.2,260.47,3
218,"J.J. McCarthy","MIN","QB",22,6,159.3,261.12,2
219,"Juwan Johnson","NO","TE",21,11,168.9,102.65,"N/A"
220,"Michael Penix Jr.","ATL","QB",23,5,168.2,239.96,1
221,"Taysom Hill","NO","TE",22,11,169.6,46.54,"N/A"
222,"Isaiah Likely","BAL","TE",23,7,168.9,126.97,1
223,"AJ Barner","SEA","TE",24,8,168.3,95.89,"N/A"
224,"Geno Smith","LV","QB",24,8,169.6,239.91,1
225,"Dalton Schultz","HOU","TE",25,6,168.6,97.67,1
226,"Theo Johnson","NYG","TE",26,14,167.9,102.09,1
227,"C.J. Stroud","HOU","QB",25,6,151.3,246.44,2
228,"Oronde Gadsden II","LAC","TE",27,12,169.8,79.17,1
229,"Sam Darnold","SEA","QB",26,8,165.1,226.45,1
230,"Zach Ertz","WAS","TE",28,12,164,130.28,1
231,"Green Bay Packers DST","GB","DST",13,5,150,114.97,"N/A"
232,"Aaron Rodgers","PIT","QB",27,5,166.7,231.67,"N/A"
233,"San Francisco 49ers DST","SF","DST",14,14,167,114.44,"N/A"
234,"Jake Elliott","PHI","K",13,9,141.2,148.03,"N/A"
235,"Tua Tagovailoa","MIA","QB",28,12,167.1,238.86,1
236,"Will Reichard","MIN","K",14,6,168.4,131.49,"N/A"
